0, value, target
739,634.238,636.141
740,634.235,636.138
741,634.232,636.135
742,634.223,636.126
743,634.219,636.122
744,634.209,636.112
745,634.199,636.102
746,634.189,636.092
747,634.179,636.082
748,634.169,636.072
749,634.163,636.066
750,634.163,636.065
751,634.162,636.065
752,634.159,636.062
753,634.156,636.058
754,634.145,636.047
755,634.135,636.037
756,634.125,636.027
757,634.12,636.022
758,634.115,636.017
759,634.108,636.01
760,634.107,636.009
761,634.107,636.009
762,634.106,636.009
763,634.106,636.008
764,634.106,636.008
765,634.105,636.008
766,634.105,636.007
767,634.099,636.001
768,634.096,635.999
769,634.095,635.997
770,634.089,635.991
771,634.082,635.984
772,634.071,635.974
773,634.061,635.963
774,634.05,635.952
775,634.04,635.942
776,634.039,635.941
777,634.029,635.931
778,634.027,635.93
779,634.017,635.919
780,634.016,635.918
781,634.015,635.918
782,634.015,635.917
783,634.014,635.916
784,634.013,635.915
785,634.013,635.915
786,634.013,635.915
787,634.013,635.915
788,634.013,635.915
789,634.013,635.915
790,634.013,635.915
791,634.012,635.914
792,634.011,635.913
793,634.011,635.913
794,634.01,635.912
795,634.009,635.911
796,634.009,635.911
797,634.014,635.917
798,634.016,635.918
799,634.017,635.919
800,634.022,635.924
801,634.028,635.93
802,634.038,635.94
803,634.048,635.95
804,634.058,635.96
805,634.067,635.969
806,634.066,635.968
807,634.075,635.977
808,634.075,635.977
809,634.075,635.977
810,634.066,635.968
811,634.043,635.946
812,634.021,635.923
813,633.976,635.878
814,633.874,635.776
815,633.771,635.673
816,633.77,635.671
817,633.767,635.669
818,633.743,635.644
819,633.691,635.592
820,633.621,635.522
821,633.552,635.453
822,633.483,635.383
823,633.413,635.313
824,633.382,635.282
825,633.351,635.251
826,633.315,635.215
827,633.278,635.178
828,633.281,635.18
829,633.261,635.16
830,633.238,635.137
831,633.215,635.114
832,633.192,635.091
833,633.169,635.068
834,633.146,635.045
835,633.108,635.008
836,633.086,634.985
837,633.064,634.963
838,633.041,634.94
839,633.028,634.927
840,633.015,634.914
841,633.015,634.914
842,633.016,634.915
843,633.038,634.937
844,633.117,635.017
845,633.197,635.097
846,633.175,635.075
847,633.154,635.054
848,633.155,635.054
849,633.184,635.083
850,633.23,635.13
851,633.277,635.177
852,633.323,635.223
853,633.37,635.27
854,633.378,635.278
855,633.385,635.286
856,633.399,635.299
857,633.412,635.312
858,633.387,635.287
859,633.384,635.284
860,633.383,635.284
861,633.383,635.283
862,633.383,635.283
863,633.383,635.283
864,633.383,635.283
865,633.398,635.298
866,633.398,635.298
867,633.398,635.298
868,633.398,635.298
869,633.398,635.298
870,633.398,635.298
871,633.397,635.298
872,633.397,635.298
873,633.397,635.298
874,633.397,635.297
875,633.397,635.297
876,633.397,635.297
877,633.397,635.297
878,633.397,635.297
879,633.397,635.297
880,633.396,635.297
881,633.396,635.296
882,633.396,635.296
883,633.396,635.296
884,633.396,635.296
885,633.396,635.296
886,633.396,635.296
887,633.431,635.331
888,633.466,635.366
889,633.501,635.401
890,633.536,635.436
891,633.589,635.49
892,633.656,635.557
893,633.697,635.598
894,633.743,635.645
895,633.805,635.706
896,633.836,635.738
897,633.844,635.746
898,633.852,635.754
899,633.86,635.762
900,633.868,635.77
901,633.872,635.774
902,633.876,635.778
903,633.877,635.778
904,633.826,635.727
905,633.775,635.676
906,633.724,635.625
907,633.745,635.647
908,633.697,635.598
909,633.721,635.622
910,633.743,635.644
911,633.765,635.666
912,633.789,635.69
913,633.809,635.71
914,633.829,635.731
915,633.85,635.751
916,633.862,635.763
917,633.777,635.678
918,633.767,635.668
919,633.764,635.665
920,633.722,635.623
921,633.662,635.563
922,633.546,635.447
923,633.456,635.356
924,633.329,635.229
925,633.249,635.149
926,633.137,635.037
927,633.155,635.054
928,633.182,635.081
929,633.209,635.109
930,633.235,635.135
931,633.198,635.098
932,633.162,635.061
933,633.128,635.027
934,633.139,635.038
935,633.11,635.009
936,633.121,635.021
937,633.01,634.909
938,632.969,634.868
939,632.855,634.754
940,632.735,634.633
941,632.607,634.505
942,632.47,634.368
943,632.337,634.234
944,632.203,634.1
945,632.057,633.953
946,631.917,633.813
947,631.821,633.716
948,631.65,633.545
949,631.454,633.348
950,631.296,633.19
951,631.123,633.016
952,630.992,632.885
953,630.856,632.749
954,630.738,632.63
955,630.557,632.448
956,630.435,632.326
957,630.207,632.097
958,629.959,631.849
959,629.711,631.6
960,629.587,631.475
961,629.529,631.417
962,629.487,631.376
963,629.52,631.409
964,629.559,631.448
965,629.638,631.527
966,629.677,631.566
967,629.767,631.656
968,629.86,631.749
969,629.953,631.843
970,630.054,631.945
971,630.164,632.054
972,630.28,632.171
973,630.397,632.288
974,630.518,632.41
975,630.652,632.544
976,630.791,632.684
